FORWARD_TEXT_FORMAT_1.0
STDEP =  4687.0000
ENDEP =  5062.0000
RLEV  =     0.0762
CURVENAME =  AC, CAL, CNL, DEN, M2R1, M2R3, M2RX, TH, U, KTH, GR, K, DENX, TVD, GLUT, DEV, SH, SGJ, SGJ55, SG, POR, PERM
END
#DEPTH            AC        CAL        CNL        DEN       M2R1       M2R3       M2RX         TH          U        KTH         GR          K       DENX        TVD       GLUT        DEV         SH        SGJ      SGJ55         SG        POR       PERM
4687.0000      77.578      6.250     14.100      2.530      3.869      5.353      5.592      8.942      3.833     62.881     92.746      1.712      2.528   4686.933  -9999.000      1.825  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000
4687.0762      79.623      6.209     14.464      2.522      3.901      5.491      5.793      8.617      3.864     62.409     93.666      1.763      2.520   4687.009  -9999.000      1.825  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000
4687.1523      81.452      6.146     14.849      2.517      3.938      5.666      6.016      8.276      3.924     61.470     94.212      1.817      2.515   4687.085  -9999.000      1.810  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000
4687.2285      82.426      6.073     15.076      2.516      3.953      5.844      6.240      7.937      3.988     60.540     94.264      1.862      2.514   4687.162  -9999.000      1.810  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000
4687.3047      81.938      6.006     15.015      2.520      3.939      6.005      6.489      7.573      4.036     59.922     93.774      1.886      2.518   4687.238  -9999.000      1.797  -9999.000  -9999.000  -7999.000      0.000  -9999.000  -9999.000
4687.3809      80.137      5.954     14.657      2.528      3.908      6.167      6.788      7.170      4.071     59.639     92.873      1.899      2.526   4687.314  -9999.000      1.784  -9999.000  -9999.000  -5988.542      0.000  -9999.000  -9999.000
4687.4570      77.801      5.922     14.101      2.537      3.882      6.352      7.169      6.767      4.094     59.558     91.767      1.898      2.535   4687.390      9.606      1.784     13.532      1.000  -3975.131      0.000      9.606      0.346
4687.5332      75.565      5.905     13.497      2.546      3.880      6.585      7.639      6.388      4.102     59.466     90.598      1.874      2.544   4687.466      9.181      1.772     12.845     71.694  -1961.709  -1951.450      9.181      0.309
4687.6094      73.598      5.900     12.965      2.550      3.914      6.872      8.204      6.085      4.103     59.092     89.332      1.823      2.548   4687.542      8.937      1.817     12.318     71.771     51.746     51.746      8.937      0.292
4687.6860      71.834      5.899     12.516      2.551      3.987      7.214      8.854      5.907      4.093     58.272     87.817      1.746      2.549   4687.619      8.913      1.807     12.019     71.826     71.933     71.933      8.913      0.296
